车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A35717D,1,18:15,18:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:39,,,,7,1,93
沪A37508D,0,13:35,13:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,12:37,金杨路金口路,14:42,存在终点ETA，但运行轨迹仍需复核,,0,
沪A37508D,1,15:00,15:00,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,12:37,华夏三路新德西路,15:54,存在终点ETA，但运行轨迹仍需复核,,0,
沪A37508D,0,17:00,17:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,12:37,,,,,0,
沪A55712D,1,06:35,06:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,川沙客运站,08:00,存在终点ETA，但运行轨迹仍需复核,2,1,76
沪A55712D,0,08:15,08:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,09:32,存在终点ETA，但运行轨迹仍需复核,2,1,76
沪A55712D,1,10:20,10:20,SHMAAS待发计划,11:36,76,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,05:39,,,多次终点ETA一致推算，约±3分钟,2,1,76
沪A66513D,0,07:00,07:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:26,平度路长岛路,08:17,存在终点ETA，但运行轨迹仍需复核,6,1,90
沪A66513D,1,08:55,08:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:26,新川路川沙路,10:01,存在终点ETA，但运行轨迹仍需复核,6,1,90
沪A66513D,0,15:00,15:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:26,平度路长岛路,16:03,存在终点ETA，但运行轨迹仍需复核,6,1,90
沪A66513D,1,16:20,16:20,SHMAAS待发计划,17:50,90,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:26,,,多次终点ETA一致推算，约±3分钟,6,1,90
沪A67026D,1,05:45,05:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,川沙客运站,06:54,存在终点ETA，但运行轨迹仍需复核,8,1,93
沪A67026D,0,07:24,07:24,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,金杨路金口路,08:52,存在终点ETA，但运行轨迹仍需复核,8,1,93
沪A67026D,1,09:22,09:22,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,10:28,存在终点ETA，但运行轨迹仍需复核,8,1,93
沪A67026D,0,12:45,12:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,13:53,存在终点ETA，但运行轨迹仍需复核,8,1,93
沪A67026D,1,14:15,14:15,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,唐陆公路创新路,15:07,存在终点ETA，但运行轨迹仍需复核,8,1,93
沪A67026D,0,16:24,16:24,SHMAAS待发计划,17:57,93,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,05:39,,,终点近站ETA推算，约±5分钟,8,1,93
沪A67026D,1,18:01,18:01,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:39,,,,8,1,93
沪A67353D,0,06:05,06:05,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,07:12,存在终点ETA，但运行轨迹仍需复核,4,1,80
沪A67353D,1,07:35,07:35,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,华夏三路新德西路,08:52,存在终点ETA，但运行轨迹仍需复核,4,1,80
沪A67353D,0,09:30,09:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,金杨路金口路,10:46,存在终点ETA，但运行轨迹仍需复核,4,1,80
沪A67353D,1,11:20,11:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,12:25,存在终点ETA，但运行轨迹仍需复核,4,1,80
沪A67353D,0,14:40,14:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,金杨路金口路,15:49,存在终点ETA，但运行轨迹仍需复核,4,1,80
沪A67353D,1,16:00,16:00,SHMAAS待发计划,17:20,80,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,05:39,,,多次终点ETA一致推算，约±4分钟,4,1,80
沪A67353D,0,18:15,18:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:39,,,,4,1,80
沪A67983D,1,06:55,06:55,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,唐陆公路创新路,07:55,存在终点ETA，但运行轨迹仍需复核,,0,
沪A67983D,0,08:50,08:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,09:55,存在终点ETA，但运行轨迹仍需复核,,0,
沪A67983D,1,10:50,10:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,11:59,存在终点ETA，但运行轨迹仍需复核,,0,
沪A67983D,0,14:00,14:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,15:05,存在终点ETA，但运行轨迹仍需复核,,0,
沪A67983D,1,15:20,15:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,16:38,存在终点ETA，但运行轨迹仍需复核,,0,
沪A67983D,0,17:30,17:30,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,唐陆公路唐镇路,17:58,,,0,
沪A68397D,0,06:48,06:48,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:11,金杨路金口路,08:22,存在终点ETA，但运行轨迹仍需复核,3,1,79
沪A68397D,1,08:35,08:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:11,新川路川沙路,09:45,存在终点ETA，但运行轨迹仍需复核,3,1,79
沪A68397D,0,10:40,10:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:11,平度路长岛路,11:52,存在终点ETA，但运行轨迹仍需复核,3,1,79
沪A68397D,1,12:20,12:20,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:11,华夏三路新德西路,13:17,存在终点ETA，但运行轨迹仍需复核,3,1,79
沪A68397D,0,15:30,15:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:11,平度路长岛路,16:36,存在终点ETA，但运行轨迹仍需复核,3,1,79
沪A68397D,1,17:00,17:00,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:11,唐陆公路创新路,18:00,,3,1,79
沪A68397D,0,19:05,19:05,SHMAAS待发计划,20:24,79,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:11,,,终点近站ETA推算，约±5分钟,3,1,79
沪A68397D,1,20:30,20:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:11,,,,3,1,79
沪A68870D,0,07:12,07:12,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:39,平度路长岛路,08:26,,,0,
沪A68870D,1,09:10,09:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:39,新川路川沙路,10:13,存在终点ETA，但运行轨迹仍需复核,,0,
沪A68870D,0,11:05,11:05,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:39,金杨路金口路,12:14,存在终点ETA，但运行轨迹仍需复核,,0,
沪A68870D,1,12:40,12:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:39,新川路川沙路,13:44,存在终点ETA，但运行轨迹仍需复核,,0,
沪A68870D,0,16:00,16:00,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:39,佳林路金高路,16:55,存在终点ETA，但运行轨迹仍需复核,,0,
沪A68870D,1,17:30,17:30,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:39,东陆路金海路,17:58,,,0,
沪A68870D,1,20:50,20:50,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:39,,,,,0,
