线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
浦东78路,,沪A55150D,0,港城路地铁站,07:54,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:34,100分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,21:50,SHMAAS,,,,,07:54,计划发车,A,终点ETA确认/一致估算,是,6,6,87.5,6/18
浦东78路,,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,08:03,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:39,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,21:30,SHMAAS,,,,,08:03,计划发车,A,终点ETA确认/一致估算,是,6,6,95.2,18/18
浦东78路,,沪A53629D,0,港城路地铁站,08:06,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:35,89分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:00,20:20,SHMAAS,,,,,08:06,计划发车,A,终点ETA确认/一致估算,是,4,4,85.5,3/18
浦东78路,,沪A35172D,0,港城路地铁站,08:18,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:52,94分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,19:30,SHMAAS,,,,,08:18,计划发车,A,终点ETA确认/一致估算,是,7,7,93.7,16/18
浦东78路,,沪A58633D,1,锦带路迎春路（浦东新区办公中心）,08:19,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:48,89分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:00,19:10,SHMAAS,,,,,08:15,终点确认到达+2分钟（覆盖计划时间）,A,终点ETA确认/一致估算,是,7,7,90.9,13/18
浦东78路,,沪A36930D,1,锦带路迎春路（浦东新区办公中心）,08:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:56,86分钟,,,09:20采样：该车到重点站金高路俱进路 ETA 0分钟；叠加该车自身同类时段从该站到终点历史中位数36分钟，约±5分钟,5,07:40,09:20,SHMAAS,,,,,08:30,计划发车,B,同车重点站剩余时间,是,1,1,86.0,4/18
浦东78路,,沪A51173D,0,港城路地铁站,08:30,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:53,83分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,20:40,SHMAAS,,,,,08:30,计划发车,A,终点ETA确认/一致估算,是,6,5,90.0,11/18
浦东78路,,沪A55207D,1,锦带路迎春路（浦东新区办公中心）,08:35,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:00,85分钟,,,SHMAAS末次终点ETA推算：09:40采样，终点ETA 20分钟,,06:00,19:40,SHMAAS,,,,,08:35,计划发车,B,末次终点ETA兜底,是,7,7,94.3,17/18
浦东78路,,沪A36809D,0,港城路地铁站,08:45,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:13,88分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,19:30,SHMAAS,,,,,08:45,计划发车,A,终点ETA确认/一致估算,是,7,7,91.9,14/18
浦东78路,,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,08:45,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:11,86分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:20,21:50,SHMAAS,,,,,08:45,计划发车,A,终点ETA确认/一致估算,是,6,6,88.0,7/18
浦东78路,,沪A35616D,1,锦带路迎春路（浦东新区办公中心）,08:57,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:21,84分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,17:50,SHMAAS,,,,,08:57,计划发车,A,终点ETA确认/一致估算,是,6,6,88.5,9/18
浦东78路,,沪A35186D,0,港城路地铁站,09:00,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:21,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:50,21:10,SHMAAS,,,,,09:00,计划发车,A,终点ETA确认/一致估算,是,6,5,90.0,11/18
浦东78路,,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,09:10,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:37,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:50,21:50,SHMAAS,,,,,09:10,计划发车,A,终点ETA确认/一致估算,是,6,6,92.2,15/18
浦东78路,,沪A56123D,0,港城路地铁站,09:15,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:34,79分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:00,19:40,SHMAAS,,,,,09:15,计划发车,A,终点ETA确认/一致估算,是,7,7,88.3,8/18
浦东78路,,沪A57022D,1,锦带路迎春路（浦东新区办公中心）,09:20,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:41,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:00,20:00,SHMAAS,,,,,09:20,计划发车,A,终点ETA确认/一致估算,是,7,7,89.1,10/18
浦东78路,,沪A52736D,0,港城路地铁站,09:30,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:52,82分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,18:12,SHMAAS,,,,,09:30,计划发车,A,终点ETA确认/一致估算,是,6,6,84.0,2/18
浦东78路,,沪A66391D,1,锦带路迎春路（浦东新区办公中心）,09:30,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:41,71分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,18:40,SHMAAS,,,,,09:30,计划发车,A,终点ETA确认/一致估算,是,6,6,82.5,1/18
浦东78路,,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,09:45,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:01,76分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,21:50,SHMAAS,,,,,09:45,计划发车,A,终点ETA确认/一致估算,是,6,6,87.5,6/18
浦东78路,,沪A58633D,0,港城路地铁站,09:55,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:15,80分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,19:10,SHMAAS,,,,,09:55,计划发车,A,终点ETA确认/一致估算,是,7,7,90.9,13/18
浦东78路,,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,10:10,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:35,85分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:30,19:30,SHMAAS,,,,,10:10,计划发车,A,终点ETA确认/一致估算,是,7,7,93.7,16/18
浦东78路,,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,10:20,港城路地铁站,疑似区间车,原方向在全程35%处后消失；随后反向物理轨迹由seq21推进至seq35，推进14站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,20:40,SHMAAS,张杨北路五莲路,10:54,,区间折返已由主分类器确认；折返点按重建物理位置seq15映射；现有采样不足以把折返发车时间控制在±10分钟,10:20,计划发车,D,待确认,否,6,5,90.0,11/18
浦东78路,,沪A55207D,0,港城路地铁站,10:20,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:45,85分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,19:40,SHMAAS,,,,,10:20,计划发车,A,终点ETA确认/一致估算,是,7,7,94.3,17/18
