线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
浦东35路,沪A67672D,12:05,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:05,119.9,B,终点ETA多样本共识,是,康丽路康弘路,14:11,06:01,2
浦东35路,沪A67672D,09:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:24,128.9,B,终点ETA多样本共识,是,东葛路东靖路,11:30,06:01,2
浦东35路,沪A67672D,17:00,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:04,123.9,B,终点ETA多样本共识,是,东波路莱阳路,19:11,06:01,2
浦东35路,沪A67712D,07:30,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,09:57,07:11,17
浦东35路,沪A67712D,17:30,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:40,130.1,B,终点ETA多样本共识,是,康丽路康弘路,19:48,07:11,17
浦东35路,沪A67712D,10:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:44,133.5,C,终点ETA多样本共识,是,东葛路东靖路,12:47,07:11,17
浦东35路,沪A67712D,20:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,22:31,121.0,B,终点ETA多样本共识,是,东波路莱阳路,22:39,07:11,17
浦东35路,沪A68261D,15:45,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:54,128.9,A,终点ETA多样本共识,是,康丽路康弘路,17:56,06:01,7
浦东35路,沪A68261D,08:06,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,东波路莱阳路,10:11,06:01,7
浦东35路,沪A68261D,18:25,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:27,122.4,C,终点ETA多样本共识,是,东波路莱阳路,20:34,06:01,7
浦东35路,沪A68375D,15:25,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:36,131.4,A,终点ETA多样本共识,是,康丽路康弘路,17:40,07:11,10
浦东35路,沪A68375D,07:12,康恩路康浦路,东高路张杨北路,疑似区间车,同向实际位置连续推进至沪南路华夏西路附近后停止；约20分钟后在浦建路锦绣路附近形成反向连续轨迹（7个采样点），空间衔接符合中途折返,,,D,,否,沪南路华夏西路,08:06,07:11,10
浦东35路,沪A68375D,12:40,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:41,121.3,C,终点ETA多样本共识,是,东葛路东靖路,14:46,07:11,10
浦东35路,沪A68375D,18:10,康恩路康浦路,东高路张杨北路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,云山路碧云路,19:32,07:11,10
浦东35路,沪A68895D,07:42,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:51,128.7,B,终点ETA多样本共识,是,康弘路康丽路,09:56,06:01,6
浦东35路,沪A68895D,13:20,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:24,124.0,A,终点ETA多样本共识,是,康丽路康弘路,15:28,06:01,6
浦东35路,沪A68895D,10:45,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:47,122.0,B,终点ETA多样本共识,是,东葛路东靖路,12:55,06:01,6
浦东35路,沪A68895D,17:45,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:52,127.3,A,终点近站ETA确认,是,东高路张杨北路,19:52,06:01,6
浦东35路,沪A70597D,08:18,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:27,128.9,A,终点ETA多样本共识,是,康丽路康弘路,10:30,06:01,21
浦东35路,沪A70597D,17:15,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:24,128.6,B,终点ETA多样本共识,是,康丽路康弘路,19:28,06:01,21
浦东35路,沪A70597D,14:25,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:35,129.9,C,终点ETA多样本共识,是,东葛路东靖路,16:37,06:01,21
浦东35路,沪A71572D,10:58,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:08,130.0,B,终点ETA多样本共识,是,康丽路康弘路,13:16,07:30,24
浦东35路,沪A71572D,20:00,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,22:02,121.8,A,终点ETA多样本共识,是,周东路川周公路,22:05,07:30,24
浦东35路,沪A71572D,07:54,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:09,134.5,C,终点ETA多样本共识,是,东波路莱阳路,10:15,07:30,24
浦东35路,沪A71572D,13:45,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:59,134.4,C,终点ETA多样本共识,是,东葛路东靖路,16:07,07:30,24
浦东35路,沪A72873D,09:15,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:28,132.9,B,终点ETA多样本共识,是,康丽路康弘路,11:32,06:01,20
浦东35路,沪A72873D,18:00,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:13,132.7,B,终点ETA多样本共识,是,康丽路康弘路,20:18,06:01,20
浦东35路,沪A72873D,06:42,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:45,123.4,B,终点ETA多样本共识,是,东波路莱阳路,08:55,06:01,20
浦东35路,沪A72873D,15:10,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:17,126.8,B,终点ETA多样本共识,是,东葛路东靖路,17:23,06:01,20
浦东35路,沪A73927D,08:45,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:05,140.4,B,终点ETA多样本共识,是,康丽路康弘路,11:11,06:01,26
浦东35路,沪A73927D,17:45,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:04,139.0,B,终点ETA多样本共识,是,康丽路康弘路,20:08,06:01,26
浦东35路,沪A73927D,06:10,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:11,121.0,B,终点ETA多样本共识,是,东葛路东靖路,08:18,06:01,26
浦东35路,沪A73927D,14:45,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:03,138.1,C,终点ETA多样本共识,是,东波路莱阳路,17:11,06:01,26
浦东35路,沪A79307D,09:38,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,沪南路华夏西路,10:37,09:10,
浦东35路,沪A79307D,12:28,康恩路康浦路,东高路张杨北路,疑似区间车,同向实际位置连续推进至沪南路华夏西路附近后停止；约20分钟后在浦建路锦绣路附近形成反向连续轨迹（7个采样点），空间衔接符合中途折返,,,D,,否,沪南路华夏西路,13:27,09:10,
浦东35路,沪A79307D,15:22,康恩路康浦路,东高路张杨北路,疑似区间车,同向实际位置连续推进至沪南路华夏西路附近后停止；约20分钟后在浦建路锦绣路附近形成反向连续轨迹（6个采样点），空间衔接符合中途折返,,,D,,否,沪南路华夏西路,16:17,09:10,
浦东35路,沪A79307D,18:12,康恩路康浦路,东高路张杨北路,疑似区间车,同向实际位置连续推进至沪南路高科西路附近后停止；约10分钟后在浦建路锦绣路附近形成反向连续轨迹（6个采样点），空间衔接符合中途折返,,,D,,否,沪南路高科西路,19:12,09:10,
浦东35路,沪A90275D,10:20,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:32,132.5,B,终点ETA多样本共识,是,康弘路康丽路,12:35,07:20,19
浦东35路,沪A90275D,18:40,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:52,131.9,A,终点近站ETA确认,是,康恩路康浦路,20:52,07:20,19
浦东35路,沪A90275D,07:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:35,125.0,B,终点ETA多样本共识,是,东波路莱阳路,09:42,07:20,19
浦东35路,沪A90275D,13:25,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:30,125.0,C,终点ETA多样本共识,是,东葛路东靖路,15:36,07:20,19
浦东35路,沪A92076D,10:40,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:58,137.9,A,终点ETA多样本共识,是,康丽路康弘路,13:00,07:20,27
浦东35路,沪A92076D,19:40,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:54,134.3,B,终点ETA多样本共识,是,康丽路康弘路,21:58,07:20,27
浦东35路,沪A92076D,07:42,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:02,140.2,A,终点近站ETA确认,是,东高路张杨北路,10:02,07:20,27
浦东35路,沪A92076D,16:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:42,146.9,A,终点近站ETA确认,是,东高路张杨北路,18:42,07:20,27
浦东35路,沪A95621D,08:30,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:40,130.0,A,终点ETA多样本共识,是,周东路川周公路,10:44,06:01,14
浦东35路,沪A95621D,14:10,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:14,124.4,B,终点ETA多样本共识,是,康丽路康弘路,16:22,06:01,14
浦东35路,沪A95621D,11:25,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:32,127.1,A,终点近站ETA确认,是,东高路张杨北路,13:32,06:01,14
