车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A36809D,1,15:00,15:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:00,,,,3,1,81
沪A36930D,1,08:35,08:35,SHMAAS待发计划,10:01,86,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:29,,,终点近站ETA推算，约±2分钟,9,1,86
沪A51173D,0,06:55,06:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,丁香路民生路,08:45,存在终点ETA，但运行轨迹仍需复核,2,2,79.5
沪A51173D,1,08:55,08:55,SHMAAS待发计划,10:16,81,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:20,,,末次终点ETA推算，约±10分钟,2,2,79.5
沪A51173D,1,08:57,08:57,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,港城路地铁站,10:16,存在终点ETA，但运行轨迹仍需复核,2,2,79.5
沪A51173D,0,11:10,11:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,锦带路迎春路（浦东新区办公中心）,12:24,存在终点ETA，但运行轨迹仍需复核,2,2,79.5
沪A51173D,1,12:40,12:40,SHMAAS待发计划,13:58,78,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:20,,,多次终点ETA一致推算，约±3分钟,2,2,79.5
沪A51173D,0,14:35,14:35,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:20,,,,2,2,79.5
沪A52736D,0,07:30,07:30,SHMAAS待发计划,09:22,112,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:20,,,终点近站ETA推算，约±5分钟,13,1,112
沪A52736D,0,07:42,07:42,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,锦带路迎春路（浦东新区办公中心）,09:22,存在终点ETA，但运行轨迹仍需复核,13,1,112
沪A52736D,1,09:30,09:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,和龙路草高支路,10:45,存在终点ETA，但运行轨迹仍需复核,13,1,112
沪A52736D,0,12:00,12:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,锦带路迎春路（浦东新区办公中心）,13:24,存在终点ETA，但运行轨迹仍需复核,13,1,112
沪A52736D,1,13:30,13:30,SHMAAS待发计划,14:50,80,全程车,未发现可靠中途折返证据,D,末次终点ETA,否,06:20,,,末次终点ETA推算，约±20分钟,13,1,112
沪A53629D,0,07:55,07:55,SHMAAS待发计划,09:26,91,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:00,,,终点近站ETA推算，约±5分钟,8,2,85.5
沪A53629D,0,08:06,08:06,SHMAAS待发计划,09:26,80,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:00,,,终点近站ETA推算，约±5分钟,8,2,85.5
沪A55150D,1,06:50,06:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,大同路石家街（市七医院）,08:22,存在终点ETA，但运行轨迹仍需复核,,0,
沪A55150D,0,08:30,08:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,锦带路迎春路（浦东新区办公中心）,10:03,存在终点ETA，但运行轨迹仍需复核,,0,
沪A55150D,1,10:20,10:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:30,,,,,0,
沪A55207D,0,07:54,07:54,SHMAAS待发计划,09:39,105,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:20,,,末次终点ETA推算，约±10分钟,12,1,105
沪A55207D,0,08:06,08:06,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,丁香路民生路,09:36,存在终点ETA，但运行轨迹仍需复核,12,1,105
沪A55207D,1,09:45,09:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:20,港城路地铁站,11:11,存在终点ETA，但运行轨迹仍需复核,12,1,105
沪A56123D,0,06:25,06:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,芳甸路杨高中路,08:11,存在终点ETA，但运行轨迹仍需复核,,0,
沪A56123D,1,08:21,08:21,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,和龙路花山路,09:41,存在终点ETA，但运行轨迹仍需复核,,0,
沪A56123D,0,10:20,10:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,锦带路迎春路（浦东新区办公中心）,11:41,存在终点ETA，但运行轨迹仍需复核,,0,
沪A56123D,1,11:50,11:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,港城路地铁站,13:17,存在终点ETA，但运行轨迹仍需复核,,0,
沪A56123D,0,13:40,13:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:00,,,,,0,
沪A56630D,1,07:15,07:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,和龙路花山路,08:52,存在终点ETA，但运行轨迹仍需复核,7,1,85
沪A56630D,0,09:10,09:10,SHMAAS待发计划,10:35,85,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:50,,,终点近站ETA推算，约±5分钟,7,1,85
沪A56630D,0,09:15,09:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,丁香路合欢路,10:34,存在终点ETA，但运行轨迹仍需复核,7,1,85
沪A56630D,1,10:45,10:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:50,,,,7,1,85
沪A57022D,1,06:40,06:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,和龙路草高支路,08:11,存在终点ETA，但运行轨迹仍需复核,,0,
沪A57022D,0,08:18,08:18,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,丁香路合欢路,09:47,存在终点ETA，但运行轨迹仍需复核,,0,
沪A57022D,1,10:10,10:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,和龙路花山路,11:27,存在终点ETA，但运行轨迹仍需复核,,0,
沪A57022D,0,12:25,12:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,丁香路民生路,13:42,存在终点ETA，但运行轨迹仍需复核,,0,
沪A57022D,1,13:55,13:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:30,,,,,0,
沪A57902D,0,07:30,07:30,SHMAAS待发计划,09:04,94,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:20,,,终点近站ETA推算，约±5分钟,10,2,88
沪A57902D,0,07:42,07:42,SHMAAS待发计划,09:04,82,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:20,,,终点近站ETA推算，约±5分钟,10,2,88
沪A57902D,1,14:45,14:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:20,,,,10,2,88
沪A58633D,1,07:00,07:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,大同路石家街（市七医院）,08:24,存在终点ETA，但运行轨迹仍需复核,6,1,84
沪A58633D,0,08:50,08:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,锦带路迎春路（浦东新区办公中心）,10:15,存在终点ETA，但运行轨迹仍需复核,6,1,84
沪A58633D,1,10:35,10:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,大同路和龙路,11:50,存在终点ETA，但运行轨迹仍需复核,6,1,84
沪A58633D,0,12:50,12:50,SHMAAS待发计划,14:14,84,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:30,,,多次终点ETA一致推算，约±3分钟,6,1,84
沪A58633D,1,14:20,14:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:30,,,,6,1,84
沪A59117D,1,07:30,07:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:00,和龙路花山路,08:53,存在终点ETA，但运行轨迹仍需复核,1,1,71
沪A59117D,0,09:30,09:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:00,芳甸路杨高中路,10:40,存在终点ETA，但运行轨迹仍需复核,1,1,71
沪A59117D,1,11:00,11:00,SHMAAS待发计划,12:11,71,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:00,,,终点近站ETA推算，约±2分钟,1,1,71
沪A66391D,0,07:10,07:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,锦带路迎春路（浦东新区办公中心）,08:51,存在终点ETA，但运行轨迹仍需复核,,0,
沪A66391D,1,09:10,09:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:30,和龙路清溪路,10:23,存在终点ETA，但运行轨迹仍需复核,,0,
