线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
182路,沪A32597D,08:31,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:43,71.7,A,终点近站ETA确认,是,金杨路枣庄路,09:43,07:51,1
182路,沪A32597D,10:35,金杨路金口路,川沙客运站,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,金杨路金桥路,11:15,07:51,1
182路,沪A35717D,09:10,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:23,72.8,A,终点近站ETA确认,是,金杨路金桥路,10:23,06:02,12
182路,沪A35717D,07:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:54,98.6,B,终点ETA多样本共识,是,川环南路妙境路,08:54,06:02,12
182路,沪A35717D,11:05,金杨路金口路,川沙客运站,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:02,12
182路,沪A55712D,06:05,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:14,69.1,B,终点ETA多样本共识,是,金杨路金业路,07:18,06:02,3
182路,沪A55712D,09:30,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:43,72.6,A,终点近站ETA确认,是,金杨路枣庄路,10:43,06:02,3
182路,沪A55712D,07:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:08,92.6,B,终点ETA多样本共识,是,川环南路妙境路,09:04,06:02,3
182路,沪A55712D,11:20,金杨路金口路,川沙客运站,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:02,3
182路,沪A66513D,08:50,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:03,72.8,A,终点近站ETA确认,是,金杨路枣庄路,10:03,06:02,4
182路,沪A66513D,06:55,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:20,84.7,A,终点ETA多样本共识,是,新川路华城路,08:24,06:02,4
182路,沪A66513D,10:50,金杨路金口路,川沙客运站,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:02,4
182路,沪A67026D,06:35,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:57,82.2,B,终点ETA多样本共识,是,长岛路台儿庄路,07:59,06:02,11
182路,沪A67026D,10:15,川沙客运站,金杨路金口路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,11:26,70.6,C,末次终点ETA,否,德川路华夏东路,11:26,06:02,11
182路,沪A67026D,08:15,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:42,87.3,A,终点ETA多样本共识,是,新川路华城路,09:45,06:02,11
182路,沪A67353D,07:12,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:47,94.6,A,终点ETA多样本共识,是,金杨路金业路,08:47,06:41,7
182路,沪A67353D,11:05,川沙客运站,金杨路金口路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:41,7
182路,沪A67353D,09:10,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:20,70.5,B,终点ETA多样本共识,是,新川路华城路,10:24,06:41,7
182路,沪A67983D,06:20,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:44,83.9,C,终点ETA多样本共识,是,金杨路金业路,07:56,06:02,10
182路,沪A67983D,09:50,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:03,72.8,A,终点ETA多样本共识,是,东陆路新金桥路,11:05,06:02,10
182路,沪A67983D,07:55,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:28,92.6,A,终点ETA多样本共识,是,川沙路南桥路,09:27,06:02,10
182路,沪A68397D,08:00,川沙客运站,金杨路金口路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,09:24,83.6,C,末次终点ETA,是,金杨路金桥路,09:24,06:02,2
182路,沪A68397D,06:10,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:22,71.6,B,终点ETA多样本共识,是,川环南路妙境路,07:24,06:02,2
182路,沪A68397D,10:05,金杨路金口路,川沙客运站,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,唐陆公路顾家浜路,11:00,06:02,2
182路,沪A68870D,07:00,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:27,86.6,A,终点ETA多样本共识,是,金杨路金业路,08:29,06:31,8
182路,沪A68870D,08:55,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:14,78.5,A,终点ETA多样本共识,是,川沙路南桥路,10:15,06:31,8
