车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A37823D,1,09:40,09:40,SHMAAS待发计划,11:41,121,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:10,,,终点近站ETA推算，约±2分钟,10,3,138.3
沪A51682D,0,06:26,06:26,SHMAAS待发计划,08:53,147,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,康恩路康浦路,08:53,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,5,4,133.5
沪A51682D,1,09:15,09:15,SHMAAS待发计划,11:28,133,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:01,,,多次终点ETA一致推算，约±3分钟,5,4,133.5
沪A51682D,1,09:20,09:20,SHMAAS待发计划,11:28,128,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,东靖路张杨北路,11:24,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,5,4,133.5
沪A51682D,0,12:05,12:05,SHMAAS待发计划,14:11,126,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,06:01,,,末次终点ETA推算，约±15分钟,5,4,133.5
沪A55102D,0,07:06,07:06,SHMAAS待发计划,09:39,153,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:40,康汇路康恩路,09:39,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,11,2,139
沪A55102D,1,10:00,10:00,SHMAAS待发计划,12:05,125,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:40,,,终点近站ETA推算，约±5分钟,11,2,139
沪A57051D,1,06:54,06:54,SHMAAS待发计划,09:41,167,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:20,东高路张杨北路,09:41,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,18,3,142.3
沪A57051D,0,09:50,09:50,SHMAAS待发计划,11:59,129,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:20,康恩路康浦路,11:57,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,18,3,142.3
沪A57051D,1,12:15,12:15,SHMAAS待发计划,14:26,131,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,06:20,,,末次终点ETA推算，约±15分钟,18,3,142.3
沪A57051D,0,15:00,15:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:20,,,,18,3,142.3
沪A62217D,1,07:12,07:12,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:50,浦建路杜鹃路,08:35,,,0,
沪A62217D,1,12:40,12:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:50,,,,,0,
沪A62880D,1,06:42,06:42,SHMAAS待发计划,09:12,150,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,东高路张杨北路,09:12,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,14,2,140.5
沪A62880D,0,09:30,09:30,SHMAAS待发计划,11:41,131,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±2分钟,14,2,140.5
沪A62880D,0,11:43,09:32,终点确认到达+2分钟（覆盖计划时间）,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,实际发车晚于原到达估计，原到达估计作废,14,2,140.5
沪A62880D,1,15:10,15:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,14,2,140.5
沪A62981D,0,07:54,07:54,SHMAAS待发计划,10:15,141,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:20,康恩路康浦路,10:15,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,4,2,133
沪A62981D,1,11:00,11:00,SHMAAS待发计划,13:05,125,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:20,,,终点近站ETA推算，约±5分钟,4,2,133
沪A65668D,1,07:06,07:06,SHMAAS待发计划,09:51,165,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:40,东高路张杨北路,09:51,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,15,3,141
沪A65668D,0,10:00,10:00,SHMAAS待发计划,12:10,130,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:40,,,多次终点ETA一致推算，约±3分钟,15,3,141
沪A65668D,0,10:02,10:02,SHMAAS待发计划,12:10,128,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:40,,,多次终点ETA一致推算，约±3分钟,15,3,141
沪A66621D,0,07:18,07:18,SHMAAS待发计划,09:43,145,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:50,康恩路康浦路,09:43,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,7,2,135.5
沪A66621D,1,10:15,10:15,SHMAAS待发计划,12:21,126,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:50,东高路张杨北路,12:21,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,7,2,135.5
沪A66621D,0,12:55,12:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:50,,,,7,2,135.5
沪A67057D,0,07:30,07:30,SHMAAS待发计划,10:01,151,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,07:01,康丽路康恩路,09:55,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,13,2,140
沪A67057D,1,10:30,10:30,SHMAAS待发计划,12:39,129,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,07:01,,,多次终点ETA一致推算，约±3分钟,13,2,140
沪A67672D,0,06:10,06:10,SHMAAS待发计划,08:19,129,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,06:01,康恩路康丽路,08:13,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,2,2,128.5
沪A67672D,1,09:00,09:00,SHMAAS待发计划,11:08,128,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:01,,,末次终点ETA推算，约±10分钟,2,2,128.5
沪A67712D,0,07:42,07:42,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:40,沪南路康桥路,09:30,,9,1,137
沪A67712D,1,10:45,10:45,SHMAAS待发计划,13:02,137,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:40,东靖路莱阳路,12:55,多次终点ETA一致推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,9,1,137
沪A67712D,0,13:20,13:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:40,,,,9,1,137
沪A68261D,1,07:24,07:24,SHMAAS待发计划,待确认,,疑似区间车,同车发车97分钟后已反向运行，早于该方向已确认全程最短122分钟的80%阈值（97.5分钟）,D,证据不足,否,07:20,沪南路陈春东路,08:40,,,0,
沪A68261D,1,13:05,13:05,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:20,,,,,0,
