线路,车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
浦东78路,沪A55207D,1,07:30,07:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,大同路石家街（市七医院）,08:55,存在终点ETA，但运行轨迹仍需复核,11,1,103
浦东78路,沪A55207D,0,09:20,09:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,丁香路金松路,10:35,存在终点ETA，但运行轨迹仍需复核,11,1,103
浦东78路,沪A55207D,1,11:00,11:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,港城路地铁站,12:19,存在终点ETA，但运行轨迹仍需复核,11,1,103
浦东78路,沪A55207D,0,12:50,12:50,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:10,金杨路金口路,13:51,存在终点ETA，但运行轨迹仍需复核,11,1,103
浦东78路,沪A55207D,1,14:45,14:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,大同路石家街（市七医院）,15:56,存在终点ETA，但运行轨迹仍需复核,11,1,103
浦东78路,沪A55207D,0,16:25,16:25,SHMAAS待发计划,18:08,103,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,07:10,,,多次终点ETA一致推算，约±3分钟,11,1,103
浦东78路,沪A55207D,1,18:10,18:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:10,,,,11,1,103
浦东78路,沪A56123D,0,07:10,07:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,丁香路金松路,08:51,,1,1,77
浦东78路,沪A56123D,1,09:10,09:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,港城路地铁站,10:35,存在终点ETA，但运行轨迹仍需复核,1,1,77
浦东78路,沪A56123D,0,15:10,15:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,锦带路迎春路（浦东新区办公中心）,16:35,存在终点ETA，但运行轨迹仍需复核,1,1,77
浦东78路,沪A56123D,1,17:05,17:05,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:50,巨峰路成园路,17:53,,1,1,77
浦东78路,沪A56123D,1,21:10,21:10,SHMAAS待发计划,22:27,77,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:50,,,多次终点ETA一致推算，约±3分钟,1,1,77
浦东78路,沪A56630D,0,07:54,07:54,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,丁香路金松路,09:22,,3,1,83
浦东78路,沪A56630D,1,09:45,09:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,大同路石家街（市七医院）,10:57,存在终点ETA，但运行轨迹仍需复核,3,1,83
浦东78路,沪A56630D,0,15:40,15:40,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,五莲路荷泽路,16:34,,3,1,83
浦东78路,沪A56630D,1,17:25,17:25,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,五莲路荷泽路,17:58,,3,1,83
