线路,车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
182路,沪A31073D,0,12:45,12:45,SHMAAS待发计划,13:56,71,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±5分钟,8,3,81
182路,沪A31073D,1,14:15,14:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,8,3,81
182路,沪A32298D,0,06:48,06:48,SHMAAS待发计划,08:18,90,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:11,金杨路金口路,08:18,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,6,4,78
182路,沪A32298D,1,08:35,08:35,SHMAAS待发计划,09:49,74,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,06:11,川环南路妙境路,09:48,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,6,4,78
182路,沪A32298D,0,10:40,10:40,SHMAAS待发计划,11:52,72,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:11,金杨路金口路,11:52,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,6,4,78
182路,沪A32298D,1,12:20,12:20,SHMAAS待发计划,13:36,76,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:11,,,终点近站ETA推算，约±5分钟,6,4,78
182路,沪A32597D,0,07:00,07:00,SHMAAS待发计划,08:32,92,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:31,金杨路金口路,08:32,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,11,2,83
182路,沪A32597D,1,08:55,08:55,SHMAAS待发计划,10:09,74,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:31,,,多次终点ETA一致推算，约±3分钟,11,2,83
182路,沪A32597D,0,15:00,15:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:31,,,,11,2,83
182路,沪A35717D,1,06:35,06:35,SHMAAS待发计划,08:03,88,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,川沙客运站,08:03,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,9,3,81.3
182路,沪A35717D,0,08:15,08:15,SHMAAS待发计划,09:36,81,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,金杨路金桥路,09:32,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,9,3,81.3
182路,沪A35717D,1,10:20,10:20,SHMAAS待发计划,11:35,75,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,川沙客运站,11:38,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,9,3,81.3
182路,沪A35717D,0,13:35,13:35,SHMAAS待发计划,14:48,73,全程车,未发现可靠中途折返证据,D,末次终点ETA,否,06:01,,,末次终点ETA推算，约±20分钟,9,3,81.3
182路,沪A35717D,1,15:00,15:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,9,3,81.3
182路,沪A51671D,0,06:05,06:05,SHMAAS待发计划,07:26,81,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,金杨路金口路,07:26,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,14,4,86.8
182路,沪A51671D,1,07:35,07:35,SHMAAS待发计划,09:23,108,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,新川路川沙路,09:12,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,14,4,86.8
182路,沪A51671D,0,09:30,09:30,SHMAAS待发计划,10:46,76,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,金杨路金口路,10:46,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,14,4,86.8
182路,沪A51671D,1,11:20,11:20,SHMAAS待发计划,12:42,82,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±2分钟,14,4,86.8
182路,沪A51671D,0,14:40,14:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,14,4,86.8
182路,沪A55712D,1,06:55,06:55,SHMAAS待发计划,08:26,91,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,川沙客运站,08:26,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,7,3,78.3
182路,沪A55712D,0,08:50,08:50,SHMAAS待发计划,10:02,72,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,金杨路金口路,10:02,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,7,3,78.3
182路,沪A55712D,1,10:50,10:50,SHMAAS待发计划,12:02,72,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,川沙客运站,12:02,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,7,3,78.3
182路,沪A55712D,0,14:00,14:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,7,3,78.3
182路,沪A66513D,1,06:10,06:10,SHMAAS待发计划,07:19,69,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,川环南路妙境路,07:17,多次终点ETA一致推算，约±4分钟；末段轨迹已观测，班次类型与到达置信度分开判定,2,4,74.8
182路,沪A66513D,0,08:00,08:00,SHMAAS待发计划,09:27,87,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,06:01,金杨路金业路,09:21,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,2,4,74.8
182路,沪A66513D,1,10:05,10:05,SHMAAS待发计划,11:16,71,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,川环南路川沙路,11:13,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,2,4,74.8
182路,沪A66513D,0,13:10,13:10,SHMAAS待发计划,14:22,72,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:01,,,多次终点ETA一致推算，约±4分钟,2,4,74.8
182路,沪A66513D,1,14:40,14:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,2,4,74.8
182路,沪A67026D,0,06:35,06:35,SHMAAS待发计划,08:06,91,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,金杨路枣庄路,08:04,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,13,3,83.7
182路,沪A67026D,1,08:15,08:15,SHMAAS待发计划,09:43,88,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,川环南路妙境路,09:42,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,13,3,83.7
182路,沪A67026D,0,10:15,10:15,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:01,荷泽路长岛路,11:21,存在终点ETA，但运行轨迹仍需复核,13,3,83.7
182路,沪A67026D,1,12:00,12:00,SHMAAS待发计划,13:12,72,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±2分钟,13,3,83.7
182路,沪A67353D,0,06:20,06:20,SHMAAS待发计划,07:42,82,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,金杨路金口路,07:42,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,12,4,83.5
182路,沪A67353D,1,07:55,07:55,SHMAAS待发计划,09:41,106,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,川环南路川沙路,09:34,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,12,4,83.5
182路,沪A67353D,0,09:50,09:50,SHMAAS待发计划,10:59,69,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,平度路长岛路,10:53,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,12,4,83.5
182路,沪A67353D,1,11:40,11:40,SHMAAS待发计划,12:57,77,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:01,,,多次终点ETA一致推算，约±3分钟,12,4,83.5
182路,沪A67983D,1,07:15,07:15,SHMAAS待发计划,08:55,100,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,川环南路妙境路,08:52,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,10,3,81.3
182路,沪A67983D,0,09:10,09:10,SHMAAS待发计划,10:22,72,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,金杨路金口路,10:22,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,10,3,81.3
182路,沪A67983D,1,11:05,11:05,SHMAAS待发计划,12:17,72,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:01,,,多次终点ETA一致推算，约±3分钟,10,3,81.3
182路,沪A67983D,0,14:20,14:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,10,3,81.3
182路,沪A68397D,0,07:12,07:12,SHMAAS待发计划,08:40,88,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:41,金杨路金业路,08:32,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,3,4,76
182路,沪A68397D,1,09:10,09:10,SHMAAS待发计划,10:27,77,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:41,川环南路川沙路,10:23,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,3,4,76
182路,沪A68397D,0,11:05,11:05,SHMAAS待发计划,12:15,70,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:41,金杨路枣庄路,12:13,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,3,4,76
182路,沪A68397D,1,12:40,12:40,SHMAAS待发计划,13:49,69,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:41,,,多次终点ETA一致推算，约±3分钟,3,4,76
182路,沪A68870D,0,07:36,07:36,SHMAAS待发计划,09:12,96,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:11,金杨路金口路,09:12,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,5,4,77.2
182路,沪A68870D,1,09:35,09:35,SHMAAS待发计划,10:46,71,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:11,川沙客运站,10:46,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,5,4,77.2
182路,沪A68870D,0,11:30,11:30,SHMAAS待发计划,12:42,72,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,07:11,平度路长岛路,12:32,多次终点ETA一致推算，约±4分钟；末段轨迹已观测，班次类型与到达置信度分开判定,5,4,77.2
182路,沪A68870D,1,13:00,13:00,SHMAAS待发计划,14:10,70,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,07:11,,,多次终点ETA一致推算，约±3分钟,5,4,77.2
浦东35路,沪A02316D,1,08:18,08:18,SHMAAS待发计划,10:42,144,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,06:40,东靖路张杨北路,10:39,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,6,2,134.5
浦东35路,沪A02316D,0,11:20,11:20,SHMAAS待发计划,13:25,125,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:40,,,终点近站ETA推算，约±5分钟,6,2,134.5
浦东35路,沪A05218D,1,08:45,08:45,SHMAAS待发计划,10:55,130,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:40,东高路张杨北路,10:55,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,1,2,128
浦东35路,沪A05218D,0,11:40,11:40,SHMAAS待发计划,13:46,126,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:40,,,终点近站ETA推算，约±5分钟,1,2,128
浦东35路,沪A09172D,1,08:30,08:30,SHMAAS待发计划,10:55,145,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±5分钟,21,1,145
浦东35路,沪A11062A,0,06:36,06:36,SHMAAS待发计划,待确认,,疑似区间车,同车发车85分钟后已反向运行，早于该方向已确认全程最短126分钟的80%阈值（100.7分钟）,D,证据不足,否,06:01,迎春路长柳路,07:52,,,0,
浦东35路,沪A11062A,0,09:24,09:24,SHMAAS待发计划,待确认,,疑似区间车,同车发车67分钟后已反向运行，早于该方向已确认全程最短126分钟的80%阈值（100.7分钟）,D,证据不足,否,06:01,迎春路金松路,10:18,,,0,
浦东35路,沪A36993D,1,06:10,06:10,SHMAAS待发计划,08:44,154,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,东靖路东沟路,08:34,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,12,3,139.3
浦东35路,沪A36993D,0,08:50,08:50,SHMAAS待发计划,11:03,133,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:01,,,末次终点ETA推算，约±10分钟,12,3,139.3
浦东35路,沪A36993D,0,08:52,08:52,SHMAAS待发计划,11:03,131,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:01,,,末次终点ETA推算，约±10分钟,12,3,139.3
浦东35路,沪A36993D,1,14:45,14:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,12,3,139.3
浦东35路,沪A37267D,0,06:54,06:54,SHMAAS待发计划,09:35,161,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:30,康汇路康恩路,09:33,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,19,2,142.5
浦东35路,沪A37267D,1,09:47,09:47,SHMAAS待发计划,11:51,124,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:30,,,终点近站ETA推算，约±2分钟,19,2,142.5
浦东35路,沪A37267D,1,11:53,09:50,终点确认到达+2分钟（覆盖计划时间）,待确认,,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,D,证据不足,否,06:30,东高路张杨北路,11:51,实际发车晚于原到达估计，原到达估计作废,19,2,142.5
浦东35路,沪A37267D,0,12:30,12:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:30,,,,19,2,142.5
浦东35路,沪A37823D,0,06:41,06:41,SHMAAS待发计划,09:24,163,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:10,康弘路康汇路,09:21,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,10,3,138.3
浦东35路,沪A37823D,1,09:30,09:30,SHMAAS待发计划,11:41,131,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:10,,,终点近站ETA推算，约±2分钟,10,3,138.3
浦东35路,沪A37823D,1,11:43,09:35,终点确认到达+2分钟（覆盖计划时间）,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:10,,,实际发车晚于原到达估计，原到达估计作废,10,3,138.3
浦东35路,沪A37823D,1,09:40,09:40,SHMAAS待发计划,11:41,121,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:10,,,终点近站ETA推算，约±2分钟,10,3,138.3
浦东35路,沪A51682D,0,06:26,06:26,SHMAAS待发计划,08:53,147,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,康恩路康浦路,08:53,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,5,4,133.5
浦东35路,沪A51682D,1,09:15,09:15,SHMAAS待发计划,11:28,133,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:01,,,多次终点ETA一致推算，约±3分钟,5,4,133.5
浦东35路,沪A51682D,1,09:20,09:20,SHMAAS待发计划,11:28,128,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:01,东靖路张杨北路,11:24,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,5,4,133.5
浦东35路,沪A51682D,0,12:05,12:05,SHMAAS待发计划,14:11,126,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,06:01,,,末次终点ETA推算，约±15分钟,5,4,133.5
浦东35路,沪A55102D,0,07:06,07:06,SHMAAS待发计划,09:39,153,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:40,康汇路康恩路,09:39,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,11,2,139
浦东35路,沪A55102D,1,10:00,10:00,SHMAAS待发计划,12:05,125,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:40,,,终点近站ETA推算，约±5分钟,11,2,139
浦东35路,沪A57051D,1,06:54,06:54,SHMAAS待发计划,09:41,167,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:20,东高路张杨北路,09:41,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,18,3,142.3
浦东35路,沪A57051D,0,09:50,09:50,SHMAAS待发计划,11:59,129,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:20,康恩路康浦路,11:57,多次终点ETA一致推算，约±3分钟；末段轨迹已观测，班次类型与到达置信度分开判定,18,3,142.3
浦东35路,沪A57051D,1,12:15,12:15,SHMAAS待发计划,14:26,131,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,06:20,,,末次终点ETA推算，约±15分钟,18,3,142.3
浦东35路,沪A57051D,0,15:00,15:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:20,,,,18,3,142.3
浦东35路,沪A62217D,1,07:12,07:12,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:50,浦建路杜鹃路,08:35,,,0,
浦东35路,沪A62217D,1,12:40,12:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:50,,,,,0,
浦东35路,沪A62880D,1,06:42,06:42,SHMAAS待发计划,09:12,150,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:01,东高路张杨北路,09:12,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,14,2,140.5
浦东35路,沪A62880D,0,09:30,09:30,SHMAAS待发计划,11:41,131,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:01,,,终点近站ETA推算，约±2分钟,14,2,140.5
浦东35路,沪A62880D,0,11:43,09:32,终点确认到达+2分钟（覆盖计划时间）,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,实际发车晚于原到达估计，原到达估计作废,14,2,140.5
浦东35路,沪A62880D,1,15:10,15:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:01,,,,14,2,140.5
浦东35路,沪A62981D,0,07:54,07:54,SHMAAS待发计划,10:15,141,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,07:20,康恩路康浦路,10:15,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,4,2,133
浦东35路,沪A62981D,1,11:00,11:00,SHMAAS待发计划,13:05,125,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:20,,,终点近站ETA推算，约±5分钟,4,2,133
浦东35路,沪A65668D,1,07:06,07:06,SHMAAS待发计划,09:51,165,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:40,东高路张杨北路,09:51,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,15,3,141
浦东35路,沪A65668D,0,10:00,10:00,SHMAAS待发计划,12:10,130,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:40,,,多次终点ETA一致推算，约±3分钟,15,3,141
浦东35路,沪A65668D,0,10:02,10:02,SHMAAS待发计划,12:10,128,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:40,,,多次终点ETA一致推算，约±3分钟,15,3,141
浦东35路,沪A66621D,0,07:18,07:18,SHMAAS待发计划,09:43,145,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:50,康恩路康浦路,09:43,终点近站ETA推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,7,2,135.5
浦东35路,沪A66621D,1,10:15,10:15,SHMAAS待发计划,12:21,126,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,终点近站ETA,是,06:50,东高路张杨北路,12:21,终点近站ETA推算，约±2分钟；末段轨迹已观测，班次类型与到达置信度分开判定,7,2,135.5
浦东35路,沪A66621D,0,12:55,12:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:50,,,,7,2,135.5
浦东35路,沪A67057D,0,07:30,07:30,SHMAAS待发计划,10:01,151,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,07:01,康丽路康恩路,09:55,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,13,2,140
浦东35路,沪A67057D,1,10:30,10:30,SHMAAS待发计划,12:39,129,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,07:01,,,多次终点ETA一致推算，约±3分钟,13,2,140
浦东35路,沪A67672D,0,06:10,06:10,SHMAAS待发计划,08:19,129,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,B,末次终点ETA,是,06:01,康恩路康丽路,08:13,末次终点ETA推算，约±10分钟；末段轨迹已观测，班次类型与到达置信度分开判定,2,2,128.5
浦东35路,沪A67672D,1,09:00,09:00,SHMAAS待发计划,11:08,128,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:01,,,末次终点ETA推算，约±10分钟,2,2,128.5
浦东35路,沪A67712D,0,07:42,07:42,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:40,沪南路康桥路,09:30,,9,1,137
浦东35路,沪A67712D,1,10:45,10:45,SHMAAS待发计划,13:02,137,全程车,已观测至线路末段且未满足提前反向判据；按全程车处理，终点到达证据单独评估,A,多次终点ETA一致,是,06:40,东靖路莱阳路,12:55,多次终点ETA一致推算，约±5分钟；末段轨迹已观测，班次类型与到达置信度分开判定,9,1,137
